id,question,option,answer
1, 下面属于人工智能前端设备的是（）。,"{'A': 'AI边缘网关', 'B': '智能机械臂', 'C': '智能摄像头', 'D': '人脸一体机', 'E': '触摸屏'}","[A, B, C, D]"
2, 三色灯作为警示标志被广泛应用于各种特殊场所，也被应用于（  ）等场景。,"{'A': ' 市政', 'B': ' 施工作业', 'C': ' 监护', 'D': ' 救护', 'E': ' 抢险'}","[A, B, C, D, E]"
3, 以下哪些选项属于虚拟机（  ）。？？？,"{'A': ' VMware Workstation', 'B': ' VirtualBox', 'C': ' Parallels Desktop', 'D': ' Virtual PC', 'E': ' VMLite'}","[A, B, D, E]"
4,  vi编辑器有哪些模式（  ）。,"{'A': ' 换行模式', 'B': ' 插入模式', 'C': ' 底行模式', 'D': ' 配置模式', 'E': ' 命令模式'}","[B, C, E]"
5, 边缘计算特点有（  ）。,"{'A': ' 高延时计算', 'B': ' 节能', 'C': ' 缓解流量压力', 'D': ' 分布式', 'E': ' 效率高'}","[B, C, D, E]"
6, 关于模型量化，描述正确的是（ ）。,"{'A': ' 可以加快模型推理速度', 'B': ' 有可能降低模型的精度', 'C': ' 可以达到减少模型尺寸大小、减少模型内存消耗的目标', 'D': ' 用更高精度的数据类型代替更低精度的数据类型', 'E': ' 量化后的模型通常用于如大型服务器等高性能运算设备中'}","[A, B, C]"
7, 图像采集可以应用在以下哪些领域（ ）。,"{'A': ' 人脸识别', 'B': ' 车牌识别', 'C': ' NLP', 'D': ' 医疗影像标注', 'E': ' 外观缺陷检测'}","[A, B, D, E]"
8, 关于训练集和测试集的说法，正确的是（ ）。,"{'A': ' 训练集和测试集的数据类型和格式需要一致', 'B': ' 划分在训练集中的数据不应该出现在测试集中', 'C': ' 在模型训练的过程中不能使用测试集中的数据调整模型的训练参数', 'D': ' 在划分训练集和测试集之前需要使样本序列随机化', 'E': ' 无'}","[A, B, C, D]"
9, 数据增强的作用有（  ）。,"{'A': '提升模型的训练速度', 'B': '扩大训练数据集', 'C': '提升模型的泛化能力', 'D': '降低训练时使用的学习率', 'E': '抑制过拟合'}","[B, C, E]"
10, 关于mAP的描述正确的是（ ）。,"{'A': ' mAP中的P指的是是精确率', 'B': ' mAP中的AP是单类标签平均精确率', 'C': ' mAP是所有类标签的平均精确率', 'D': ' mAP不是量化模型输出的绝对度量，是一个较好的相对度量', 'E': '在测试数据集范围内，mAP越高，可近似认为模型表现越好'}","[A, B, C, D, E]"
