id,question,option,answer
1, 以下哪个协议用于远程登入会话（  ）。,"{'A': ' SSH', 'B': ' SFTP', 'C': ' TCP/IP', 'D': ' FTP'}",A
2, 安装人工智能前端设备的正确操作是（）。,"{'A': ' 为了方便拆卸，安装前端设备不需要保证其稳定性', 'B': ' 前端设备安装时需要通电以便及时检测设备的功能是否正常', 'C': ' 因为电压很小，分线器正负极接反的情况下通电设备不会烧毁设备', 'D': ' 前端设备的安装没有固定的顺序，可以根据实际情况调整'}",D
3, 下面对命令中能够创建文件夹的为（）。,"{'A': ' cd', 'B': ' mkdir', 'C': ' cp', 'D': ' rm -rf'}",B
4, 在Shell命令窗口中使用（  ）可终止调试程序。,"{'A': ' Ctrl+D', 'B': ' Ctrl+C', 'C': ' Shift+C', 'D': ' Shift+D'}",B
5, Linux中权限最大的账户是（  ）。,"{'A': ' admin', 'B': ' guest', 'C': ' group', 'D': ' root'}",D
6, 使用超级管理员权限执行代码main.py的方法为（  ）。,"{'A': ' su ./main.py', 'B': ' sudo main.py', 'C': ' sudo python3 main.py', 'D': ' python3 main.py'}",C
7, 以下关于模型部署的说法正确的是（）。,"{'A': ' 模型量化不会使得模型精度受损', 'B': ' Caffe框架训练的模型要部署到AI开发板不需要进行模型转换', 'C': ' 模型部署到AI开发板是模型部署的一种', 'D': ' 模型部署到边缘端使得前端设备的推理延时更高，但成本更低'}",C
8, 创建名为mytest的数据库使用以下哪项（  ）。,"{'A': ' create mytest', 'B': ' create table mytest', 'C': ' database mytest', 'D': ' create database mytest'}",D
9, 执行（  ）命令查看nle用户被授予的权限。,"{'A': ' SHOW GRANTS FOR nle;', 'B': ' GRANTS FOR nle;', 'C': ' SHOW GRANT nle;', 'D': ' SHOW GRANT FOR nle;'}",A
10, 以下关于模型微调训练说法正确的是（）。,"{'A': ' 相比于从零开始的模型训练，模型微调训练需要的成本更高', 'B': ' 模型微调训练之前需要配置较大的学习率', 'C': ' 使用GPU进行微调训练比CPU慢', 'D': ' 模型微调训练不一定能够使得模型精度提升'}",D
11, 修改Linux中网卡配置文件时，哪一行表示IP地址？（  ）,"{'A': 'BOOTPROTO', 'B': ' IPADDR', 'C': ' NETMASK', 'D': ' GATEEWAY'}",B
12, AI边缘网关的门禁接口地址要与智能人脸一体机一致，若没有一致需要在开发模式下点击【设置】—（  ）。,"{'A': ' 本地设置', 'B': ' 服务器接口设置', 'C': ' 网络摄像头', 'D': ' 系统更新'}",B
13, 停止nginx的命令为（  ）。,"{'A': ' systemctl start nginx', 'B': ' systemctl status nginx', 'C': ' pkill nginx', 'D': ' nginx -s reload'}",C
14, （  ）命令可用于重启边缘网关。,"{'A': ' poweroff', 'B': ' shutdown -h now', 'C': ' sudo reboot now', 'D': ' halt'}",C
15, 关于图像采集，以下哪个选项说法不正确（    ）。,"{'A': ' 图像采集的过程中需要注意环境光带来的影响', 'B': ' 采集不同角度的图像是为了样本比例平衡', 'C': ' 要保证采集到的图像中不同样本比例平衡', 'D': ' 可以通过摄像头或图像采集卡进行图像采集'}",B
16, 以下关于数据标注质量检验标准说法错误的是（    ）。,"{'A': '图像数据标注质量检验标准可根据实际情况决定', 'B': '若标注的像素点与标注物的边缘像素点误差小于1个像素点，则标注一定准确', 'C': '标注的质量越高，标注的难度就越大', 'D': '图像标注的质量好坏取决于标注点的准确度'}",B
17, 关于图像采集代码，以下说法错误的是（    ）。,"{'A': ' 采用线程方法从而形成视频流', 'B': '摄像头视频流展示线程用于控制和显示拍摄到的实时画面', 'C': '捕获的视频结束后要释放资源，否则会占用摄像头', 'D': '设置需要使用到的USB摄像头ID是从1开始计数'}",D
18, （  ）将各种标签附加到引用概念和实体（例如人物、地点或主题）的文本中。,"{'A': ' 情绪标注', 'B': ' 意图标注', 'C': ' 关系标注', 'D': ' 语义标注'}",D
19, 模型微调训练需要设置的超参数为（ ）。,"{'A': ' 模型损失值', 'B': ' 召回率', 'C': ' 迭代次数', 'D': ' 准确率'}",C
20, 以下对模型微调描述错误的是（ ）。,"{'A': ' 将新数据加入预训练过的模型进行训练', 'B': ' 模型微调可以提升训练效率', 'C': ' 模型微调占用更大的计算资源', 'D': ' 数据集与预训练模型的数据集相似，但数据量小的时候，可以选择模型微调'}",C
